Svea,2018-01-02
Alfred,2018-01-03
Alfrida,2018-01-03
Rut,2018-01-04
Hanna,2018-01-05
Hannele,2018-01-05
Baltsar,2018-01-06
Kasper,2018-01-06
Melker,2018-01-06
August,2018-01-07
Augusta,2018-01-07
Erland,2018-01-08
Gunder,2018-01-09
Gunnar,2018-01-09
Sigbritt,2018-01-10
Sigurd,2018-01-10
Jan,2018-01-11
Jannike,2018-01-11
Frideborg,2018-01-12
Fridolf,2018-01-12
Knut,2018-01-13
Felicia,2018-01-14
Felix,2018-01-14
Laura,2018-01-15
Lorentz,2018-01-15
Helmer,2018-01-16
Hjalmar,2018-01-16
Tony,2018-01-17
Anton,2018-01-17
Hilda,2018-01-18
Hildur,2018-01-18
Henrik,2018-01-19
Fabian,2018-01-20
Sebastian,2018-01-20
Agnes,2018-01-21
Agneta,2018-01-21
Viktor,2018-01-22
Vincent,2018-01-22
Frej,2018-01-23
Freja,2018-01-23
Erika,2018-01-24
Paul,2018-01-25
Pål,2018-01-25
Bodil,2018-01-26
Boel,2018-01-26
Göta,2018-01-27
Göte,2018-01-27
Karl,2018-01-28
Karla,2018-01-28
Diana,2018-01-29
Gunhild,2018-01-30
Gunilla,2018-01-30
Ivar,2018-01-31
Joar,2018-01-31
Max,2018-02-01
Maximilian,2018-02-01
Kyndelsmässodagen,2018-02-02
Disa,2018-02-03
Hjördis,2018-02-03
Anselm,2018-02-04
Ansgar,2018-02-04
Agata,2018-02-05
Agda,2018-02-05
Doris,2018-02-06
Dorotea,2018-02-06
Dick,2018-02-07
Rikard,2018-02-07
Bert,2018-02-08
Berta,2018-02-08
Fanny,2018-02-09
Franciska,2018-02-09
Iris,2018-02-10
Inge,2018-02-11
Yngve,2018-02-11
Evelina,2018-02-12
Evy,2018-02-12
Agne,2018-02-13
Ove,2018-02-13
Valentin,2018-02-14
Sigfrid,2018-02-15
Julia,2018-02-16
Julius,2018-02-16
Sandra,2018-02-17
Alexandra,2018-02-17
Frida,2018-02-18
Fritiof,2018-02-18
Ella,2018-02-19
Gabriella,2018-02-19
Vivianne,2018-02-20
Hilding,2018-02-21
Pia,2018-02-22
Torsten,2018-02-23
Torun,2018-02-23
Mats,2018-02-24
Mattias,2018-02-24
Sigvard,2018-02-25
Sivert,2018-02-25
Torgny,2018-02-26
Torkel,2018-02-26
Lage,2018-02-27
Maria,2018-02-28
Elvira,2018-03-01
Albin,2018-03-01
Erna,2018-03-02
Ernst,2018-03-02
Gunborg,2018-03-03
Gunvor,2018-03-03
Adrian,2018-03-04
Adriana,2018-03-04
Tora,2018-03-05
Tove,2018-03-05
Ebba,2018-03-06
Ebbe,2018-03-06
Camilla,2018-03-07
Siv,2018-03-08
Torbjörn,2018-03-09
Torleif,2018-03-09
Ada,2018-03-10
Edla,2018-03-10
Edvin,2018-03-11
Egon,2018-03-11
Viktoria,2018-03-12
Greger,2018-03-13
Matilda,2018-03-14
Maud,2018-03-14
Christel,2018-03-15
Kristoffer,2018-03-15
Gilbert,2018-03-16
Herbert,2018-03-16
Gertrud,2018-03-17
Edmund,2018-03-18
Edvard,2018-03-18
Josef,2018-03-19
Josefina,2018-03-19
Joakim,2018-03-20
Kim,2018-03-20
Bengt,2018-03-21
Kennet,2018-03-22
Kent,2018-03-22
Gerd,2018-03-23
Gerda,2018-03-23
Gabriel,2018-03-24
Rafael,2018-03-24
Marie bebådelsedag,2018-03-25
Emanuel,2018-03-26
Ralf,2018-03-27
Rudolf,2018-03-27
Malkolm,2018-03-28
Morgan,2018-03-28
Jens,2018-03-29
Jonas,2018-03-29
Holger,2018-03-30
Holmfrid,2018-03-30
Ester,2018-03-31
Harald,2018-04-01
Hervor,2018-04-01
Gudmund,2018-04-02
Ingemund,2018-04-02
Ferdinand,2018-04-03
Nanna,2018-04-03
Marianne,2018-04-04
Marlene,2018-04-04
Irene,2018-04-05
Irja,2018-04-05
Vilhelm,2018-04-06
William,2018-04-06
Irma,2018-04-07
Irmelin,2018-04-07
Nadja,2018-04-08
Tanja,2018-04-08
Ottilia,2018-04-09
