Vårdagjämningen,2018-03-20
Sommarsolståndet,2018-06-21
Höstdagjämningen,2018-09-23
Vintersolståndet,2018-12-21
Fettisdagen,2018-02-13
Annandag pingst,2018-05-21
Mårtensafton,2018-11-10
Värnlösa barns dag,2018-12-28
Luciadagen,2018-12-13
Tjugondedag jul,2018-01-13
Trettondagsafton,2018-01-05
Skärtorsdag,2018-03-29
Påskafton,2018-03-31
Valborgsmässoafton,2018-04-30
Pingstafton,2018-05-19
Midsommarafton,2018-06-22
Julafton,2018-12-24
Nyårsafton,2018-12-31
Alla hjärtans dag,2018-02-14
Gustav Adolfsdagen,2018-11-06
Nobeldagen,2018-12-10
Våffeldagen,2018-03-25
Sommartid börjar,2018-03-25
Allmän självdeklaration,2018-05-02
Sommartid slutar,2018-10-28
Konungens namnsdag,2018-01-28
Internationella kvinnodagen,2018-03-08
Kronprinsessans namnsdag,2018-03-12
Konungens födelsedag,2018-04-30
Mors dag,2018-05-27
Kronprinsessans födelsedag,2018-07-14
Drottningens namnsdag,2018-08-08
Kanelbullens dag,2018-10-04
Internationela barndagen,2018-11-20
FN-dagen,2018-10-24
Fars dag,2018-11-11
Drottningens födelsedag,2018-12-23
Allhelgonadagen,2018-11-01
1:a advent,2018-12-02
2:a advent,2018-12-09
3:a advent,2018-12-16
4:a advent,2018-12-23
